Issue Type,Issue key,Issue id,Summary,Custom field (Story Points),Status,Updated,Created,Priority,Resolution,Custom field (Resolution / Mitigation Solution),Custom field (Vertical),Custom field (Responsible Team),Custom field (Client),Custom field (Client),Custom field (Root cause (text))
Task,POSTRCA-31589,15349987,SCI000012519665 - need to link new email,,Closed,"Feb 27, 2026 4:00 PM","Nov 5, 2025 5:11 AM",Major/Medium,Fixed/Completed,*pac-cve* spoke with customer and confirmed the issue is now resolved.,Traditional Video,,,,*pac-cve* spoke with customer and confirmed the issue is now resolved.
Task,POSTRCA-31908,16256468,"Spike in stream init failures and broken streams MO, IN on 3/13",,Closed,"Mar 19, 2026 11:00 AM","Mar 16, 2026 11:00 AM",Major/Medium,Fixed/Completed,"2 spikes during the timeframe
1 - Across MO - majorly on ABC - INC000036297736 [Provider Issue]
2 - Across NY - Majorly on ME TV - could not find any related INC for this",IP Video,,,,"2 spikes during the timeframe
1 - Across MO - majorly on ABC - INC000036297736 [Provider Issue]
2 - Across NY - Majorly on ME TV - could not find any related INC for this"
Task,POSTRCA-8680,5019508,Spanish closed caption issues on WorldBox,,Closed,"Mar 12, 2026 10:28 AM","Apr 22, 2021 11:08 AM",Major/Medium,Fixed/Completed,3rd party fixes,Traditional Video,,,,Providers were sending CC in a bad format. 
Task,POSTRCA-8669,4899477,AMS Oracle DB lock errors,,Closed,"Mar 12, 2026 1:17 PM","Mar 29, 2021 3:27 PM",Major/Medium,Fixed/Completed,AMS rolling restart,Traditional Video,,,,software fix
Task,POSTRCA-31365,14562805,MAX 'Renew Subscription' error,,Closed,"Jan 12, 2026 10:20 AM","Aug 14, 2025 11:26 AM",Major/Medium,Fixed/Completed,"All the accounts linked in RCA seems to be activated now.
No new examples",IP Video,,,,No Root Cause identified
Task,POSTRCA-31646,15519182,Apple TV OS 26 Continue Watching Under AppleTV+ Not Showing Spectrum Logo,,Closed,"Jan 14, 2026 11:23 AM","Nov 25, 2025 8:39 AM",Major/Medium,Fixed/Completed,Andrew spoke with Apple and they confirmed they fixed the logo issue yesterday.  I confirmed that seeing Spectrum logo under Apple+ on Spectrum content again. ,IP Video,,,,Andrew spoke with Apple and they confirmed they fixed the logo issue yesterday.  I confirmed that seeing Spectrum logo under Apple+ on Spectrum content again. 
Task,POSTRCA-31787,15945702,INC000035908909 - Spectrum TV App is stuck on the loading screen when attempting to load Spectrum TV APP on VIZIO TV's (Only).,,Closed,"Feb 11, 2026 2:45 PM","Feb 2, 2026 8:40 PM",Major/Medium,Fixed/Completed,App release was patched,IP Video,,,,The app was hanging up on a Vizio device API on older models. 
Task,POSTRCA-29582,10505505,"SamsungTV - unable to enable ""filters"" on guide/live TV by holding ""OK"" button on Remote",,Closed,"Feb 9, 2026 12:06 PM","Jan 26, 2024 9:10 AM",Major/Medium,Fixed/Completed,"As per the info from DEV, this issue was fixed in 31.7.1.",IP Video,,Samsung TV,,"As per the info from DEV, this issue was fixed in 31.7.1."
Task,POSTRCA-31786,15943261,Bulk MDU : AutoAccess & BehindTheModem issues,,Closed,"Feb 3, 2026 10:08 AM","Feb 2, 2026 1:49 PM",Major/Medium,Fixed/Completed,Billing Ops & BTAS team updated the test master accounts. The issue was resolved now.,IP Video,,,,Billing Ops & BTAS team updated the test master accounts. The issue was resolved now.
Task,POSTRCA-31571,15310294,"Music Choice TVE | Entitlement Issue",,Closed,"Jan 9, 2026 1:42 PM","Oct 30, 2025 10:36 PM",Major/Medium,Fixed/Completed,CLMS Update,Seamless Ent,,,,CLMS was not aligned with current ESC entitling TVE
Task,POSTRCA-8646,4814238,DVR Recording does not work if TMSGuideID changes on all Guides after Mpeg4 cutover,,Closed,"Mar 12, 2026 10:28 AM","Mar 11, 2021 1:46 PM",Critical/High,Fixed/Completed,"Cancel schedule and reschedule again. 

Fixed with lambda function",Traditional Video,,,,S/W bug 
Task,POSTRCA-31652,15553503,[Exec - Matt Wagner] ES1 : WIFI - 'No WIFI screen' displayed and could not connect again,,Closed,"Jan 21, 2026 11:00 AM","Dec 1, 2025 10:05 AM",Major/Medium,Cannot Reproduce,Cannot reproduce. Closed as one time incident. ,IP Video,,,,Comcast monitored devices post-debug build deployment and confirmed no further WiFi reconnection failures before closing the incident.
Task,POSTRCA-30647,12571052,Closed captioning in the middle of the screen for few Providers in SpectrumGuide Worldbox Markets,,Blocked,"Mar 23, 2026 10:33 AM","Nov 15, 2024 3:09 PM",Minor/Low,,"Change the CC Window Transparency Setting to Auto from Opaque with below steps

Settings -> Accessibility -> Closed Captioning Settings -> Window Settings -> Transparency -> Auto Setting ( Set by Program)",Traditional Video,AE,,,3rd party equipment
Task,POSTRCA-31839,16061341,Spike in stream init and broken streams in CA on 2/15 ,,Closed,"Feb 19, 2026 11:29 AM","Feb 18, 2026 9:26 AM",Major/Medium,Fixed/Completed,Channel specific Provider issue,IP Video,,,,NA
Task,POSTRCA-31734,15766372,Executive Escalation :  CDVR News and Talk Shows That Don't Have Seasons In New Year Reset To 1 Moved to Bottom of List,,Closed,"Mar 3, 2026 1:58 PM","Jan 7, 2026 12:50 PM",Major/Medium,Fixed/Completed,Checked with Nic and NNS ClientServices_46 was deployed on 2/17.  Confirmed fix is listing newest first now. Closing ticket. ,IP Video,,,,Checked with Nic and NNS ClientServices_46 was deployed on 2/17.  Confirmed fix is listing newest first now. Closing ticket. 
